,dummy,trail,region,date,description,condition,link
544,,Rabbit - Lower,Ofer Forest,"Apr 22, 2020 @ 6:32amApr 22, 2020",E-Bike,Ideal,view
545,,The Baron,Shfeya,"Apr 19, 2020 @ 2:09pmApr 19, 2020",,Dry,view
546,,Mattress,Mishmar HaEmek,"Apr 18, 2020 @ 12:41amApr 18, 2020",E-Bike,Ideal,view
547,,Descent from the Oak,Kiryat Tivon,"Apr 17, 2020 @ 9:54pmApr 17, 2020",,Ideal,view
548,,HaLilach trail,Kiryat Tivon,"Apr 17, 2020 @ 9:54pmApr 17, 2020",,Ideal,view
549,,Swimming pool Connector,Kiryat Tivon,"Apr 17, 2020 @ 9:54pmApr 17, 2020",,Ideal,view
550,,The Swimming Pool,Kiryat Tivon,"Apr 17, 2020 @ 9:54pmApr 17, 2020",,Ideal,view
551,,Escape route,Kiryat Tivon,"Apr 17, 2020 @ 9:34pmApr 17, 2020",,Variable,view
552,,Rabbit - Upper,Ofer Forest,"Apr 16, 2020 @ 6:06amApr 16, 2020",E-Bike,Ideal,view
553,,Stepup Descent,Ofer Forest,"Apr 16, 2020 @ 6:06amApr 16, 2020",E-Bike,Ideal,view
554,,Kamikaze,Ofer Forest,"Apr 16, 2020 @ 6:06amApr 16, 2020",E-Bike,Ideal,view
555,,Berms,Ofer Forest,"Apr 16, 2020 @ 6:06amApr 16, 2020",E-Bike,Ideal,view
556,,Gozemet,Ofer Forest,"Apr 16, 2020 @ 6:06amApr 16, 2020",E-Bike,Ideal,view
557,,Darkness,Ofer Forest,"Apr 16, 2020 @ 6:06amApr 16, 2020",E-Bike,Ideal,view
558,,Rock Shelf,Ofer Forest,"Apr 16, 2020 @ 6:06amApr 16, 2020",E-Bike,Ideal,view
559,,Ron,Ofer Forest,"Apr 16, 2020 @ 6:06amApr 16, 2020",E-Bike,Ideal,view
560,,The Black,Ofer Forest,"Apr 16, 2020 @ 6:06amApr 16, 2020",E-Bike,Ideal,view
561,,Concealed,Mishmar HaEmek,"Apr 12, 2020 @ 12:57amApr 12, 2020",E-Bike,Variable,view
562,,Old Hai Bar,Mt. Carmel National Park,"Apr 8, 2020 @ 1:00amApr 8, 2020",E-Bike,Dry,view
563,,Descent to the Hai-Bar,Mt. Carmel National Park,"Apr 8, 2020 @ 1:00amApr 8, 2020",E-Bike,Dry,view
564,,Nahal Kelah,Mt. Carmel National Park,"Apr 8, 2020 @ 1:00amApr 8, 2020",E-Bike,Dry,view
565,,Hai Bar 2,Mt. Carmel National Park,"Apr 8, 2020 @ 1:00amApr 8, 2020",E-Bike,Dry,view
566,,Sewerage system,The Forester's House,"Apr 7, 2020 @ 1:09amApr 7, 2020",,Dry,view
567,,BagoomBadish,Western Galilee,"Mar 27, 2020 @ 12:05amMar 27, 2020",Good for riding. Some minor trail visibillity issues.,Variable,view
568,,Terraces,The Forester's House,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
569,,The Pegs,The Forester's House,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
570,,Nahal Alon,Mt. Carmel National Park,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
571,,Upper Nesher,The Forester's House,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
572,,Shokef,Mt. Carmel National Park,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
573,,Eucalyptus,The Forester's House,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
574,,Raffael Itbalbel,The Forester's House,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
575,,Monsters,The Forester's House,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
576,,Agency,The Forester's House,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
577,,Monsters Warmup Loop,The Forester's House,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
578,,Skeleton,The Forester's House,"Mar 25, 2020 @ 4:27amMar 25, 2020",E-Bike,Ideal,view
579,,Carmel Scenic Route,Haifa,"Mar 24, 2020 @ 12:00pmMar 24, 2020",,Dry,view
580,,Pagaz Al Hasus,Western Galilee,"Mar 21, 2020 @ 10:54pmMar 21, 2020","After the storm some trees fell, the trail is now barely rideable and needs some maintainance.",Wet,view
581,,Snail Hunting,Mishmar HaEmek,"Mar 21, 2020 @ 5:23amMar 21, 2020",E-Bike,Prevalent Mud,view
582,,Snail of a Rabit,Mishmar HaEmek,"Mar 21, 2020 @ 5:23amMar 21, 2020",E-Bike,Prevalent Mud,view
583,,Pinky,Mishmar HaEmek,"Mar 21, 2020 @ 5:23amMar 21, 2020",E-Bike,Prevalent Mud,view
584,,The Brain,Mishmar HaEmek,"Mar 21, 2020 @ 5:23amMar 21, 2020",E-Bike,Prevalent Mud,view
585,,Raymond,Mishmar HaEmek,"Mar 21, 2020 @ 5:23amMar 21, 2020",E-Bike,Wet,view
586,,Dan7,Mishmar HaEmek,"Mar 21, 2020 @ 5:23amMar 21, 2020",E-Bike,Prevalent Mud,view
587,,Carmel Scenic Route,Haifa,"Mar 21, 2020 @ 2:22amMar 21, 2020",,Prevalent Mud,view
588,,Pensioners,Mt. Carmel National Park,"Mar 21, 2020 @ 2:22amMar 21, 2020",,Wet,view
589,,Snail Hunting,Mishmar HaEmek,"Mar 16, 2020 @ 5:24amMar 16, 2020",E-Bike,Variable,view
590,,Snail of a Rabit,Mishmar HaEmek,"Mar 16, 2020 @ 5:24amMar 16, 2020",E-Bike,Variable,view
591,,Petra/ The Eagle,Mishmar HaEmek,"Mar 16, 2020 @ 5:24amMar 16, 2020",E-Bike,Variable,view
592,,Pinky,Mishmar HaEmek,"Mar 16, 2020 @ 5:24amMar 16, 2020",E-Bike,Variable,view
593,,The Brain,Mishmar HaEmek,"Mar 16, 2020 @ 5:24amMar 16, 2020",E-Bike,Variable,view
594,,Raymond,Mishmar HaEmek,"Mar 16, 2020 @ 5:24amMar 16, 2020",E-Bike,Variable,view
595,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Mar 16, 2020 @ 5:24amMar 16, 2020",E-Bike,Variable,view
596,,Yossi #2,Mishmar HaEmek,"Mar 16, 2020 @ 5:24amMar 16, 2020",E-Bike,Variable,view
597,,Dan7,Mishmar HaEmek,"Mar 16, 2020 @ 5:24amMar 16, 2020",E-Bike,Variable,view
598,,Carmel Scenic Route,Haifa,"Mar 15, 2020 @ 9:21pmMar 15, 2020",,Prevalent Mud,view
599,,Misgav KKL 09,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
600,,Foxie,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
601,,Misgav KKL 10,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
602,,Misgav KKL 06,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
603,,Misgav KKL 05,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
604,,Misgav KKL 04,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
605,,Cappuccino & Zuta,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
606,,Flat Tyre,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
607,,Zohar,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
608,,Road Gap,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
609,,Aurora,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
610,,Kabush,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
611,,Roots,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
612,,Dreamer 3,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
613,,Yossi's water,Misgav,"Mar 10, 2020 @ 9:52pmMar 10, 2020",E-Bike,Variable,view
614,,Cyprus,Horeshan,"Mar 9, 2020 @ 9:23pmMar 9, 2020",,Ideal,view
615,,Snail Hunting,Mishmar HaEmek,"Mar 3, 2020 @ 9:33pmMar 3, 2020",E-Bike,Variable,view
616,,Snail of a Rabit,Mishmar HaEmek,"Mar 3, 2020 @ 9:33pmMar 3, 2020",E-Bike,Variable,view
617,,Pitel,Mishmar HaEmek,"Mar 3, 2020 @ 9:33pmMar 3, 2020",E-Bike,Wet,view
618,,Pinky,Mishmar HaEmek,"Mar 3, 2020 @ 9:33pmMar 3, 2020",E-Bike,Variable,view
619,,The Brain,Mishmar HaEmek,"Mar 3, 2020 @ 9:33pmMar 3, 2020",E-Bike,Variable,view
620,,Plums,Mishmar HaEmek,"Mar 3, 2020 @ 9:33pmMar 3, 2020",E-Bike,Variable,view
621,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Mar 3, 2020 @ 9:33pmMar 3, 2020",E-Bike,Variable,view
622,,Dan7,Mishmar HaEmek,"Mar 3, 2020 @ 9:33pmMar 3, 2020",E-Bike,Variable,view
623,,Cappuccino & Zuta,Misgav,"Feb 27, 2020 @ 9:37pmFeb 27, 2020",,Ideal,view
624,,Roots,Misgav,"Feb 27, 2020 @ 9:37pmFeb 27, 2020",,Ideal,view
625,,Rabbit - Lower,Ofer Forest,"Feb 26, 2020 @ 12:15pmFeb 26, 2020",,Prevalent Mud,view
626,,Darkness,Ofer Forest,"Feb 26, 2020 @ 12:15pmFeb 26, 2020",,Wet,view
627,,The Orange,Horeshan,"Feb 21, 2020 @ 3:20amFeb 21, 2020",,Ideal,view
628,,Shortish to the Parliament,Horeshan,"Feb 21, 2020 @ 3:20amFeb 21, 2020",,Variable,view
629,,Rocks,Horeshan,"Feb 21, 2020 @ 3:20amFeb 21, 2020",,Variable,view
630,,Georgie,Horeshan,"Feb 21, 2020 @ 3:20amFeb 21, 2020",,Variable,view
631,,Cyprus,Horeshan,"Feb 21, 2020 @ 3:20amFeb 21, 2020",,Variable,view
632,,Cyprus Liar switch,Horeshan,"Feb 21, 2020 @ 3:20amFeb 21, 2020",,Ideal,view
633,,Milwaukee,Horeshan,"Feb 21, 2020 @ 3:20amFeb 21, 2020",,Ideal,view
634,,Orange Connection,Horeshan,"Feb 21, 2020 @ 3:20amFeb 21, 2020",,Ideal,view
635,,Connector,Ofer Forest,"Feb 20, 2020 @ 10:44pmFeb 20, 2020",,Variable,view
636,,Carmel Coast - Zeitim to Fureidis,Ofer Forest,"Feb 20, 2020 @ 10:44pmFeb 20, 2020",,Variable,view
637,,Starter,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Ideal,view
638,,Forest Road,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
639,,Anaconda,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
640,,Petra/ The Eagle,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
641,,Uria's Corner,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
642,,Forest Road,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Ideal,view
643,,Forest Road,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
644,,Butterflies,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
645,,Acsess Road,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Ideal,view
646,,Aristo,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
647,,Pinky,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
648,,Access trail,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Ideal,view
649,,Pinky - The End,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
650,,Raymond,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
651,,Orange,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Ideal,view
652,,Tom's climb,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
653,,Nettles,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Variable,view
654,,Wind in your face,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Ideal,view
655,,Roots,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Ideal,view
656,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
657,,Dan7,Mishmar HaEmek,"Feb 13, 2020 @ 10:03pmFeb 13, 2020",,Wet,view
658,,Raymond,Mishmar HaEmek,"Feb 11, 2020 @ 3:23amFeb 11, 2020","Large tree down across trail, blocking trail",Wet,view
659,,Rocks,Horeshan,"Jan 31, 2020 @ 2:59amJan 31, 2020",,Wet,view
660,,Georgie,Horeshan,"Jan 31, 2020 @ 2:59amJan 31, 2020",,Wet,view
661,,Cyprus,Horeshan,"Jan 31, 2020 @ 2:59amJan 31, 2020",,Wet,view
662,,Cyprus Liar switch,Horeshan,"Jan 31, 2020 @ 2:59amJan 31, 2020",,Wet,view
663,,Shorty,Horeshan,"Jan 31, 2020 @ 2:59amJan 31, 2020",,Wet,view
664,,Milwaukee,Horeshan,"Jan 31, 2020 @ 2:59amJan 31, 2020",,Wet,view
665,,Snail Hunting,Mishmar HaEmek,"Jan 30, 2020 @ 10:43pmJan 30, 2020",,Wet,view
666,,Snail of a Rabit,Mishmar HaEmek,"Jan 30, 2020 @ 10:43pmJan 30, 2020",,Wet,view
667,,Butterflies,Mishmar HaEmek,"Jan 30, 2020 @ 10:43pmJan 30, 2020",,Wet,view
668,,Pitel,Mishmar HaEmek,"Jan 30, 2020 @ 10:43pmJan 30, 2020",,Wet,view
669,,Pinky,Mishmar HaEmek,"Jan 30, 2020 @ 10:43pmJan 30, 2020",,Wet,view
670,,The Brain,Mishmar HaEmek,"Jan 30, 2020 @ 10:43pmJan 30, 2020",,Wet,view
671,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Jan 30, 2020 @ 10:43pmJan 30, 2020",,Wet,view
672,,Old Hai Bar,Mt. Carmel National Park,"Jan 30, 2020 @ 10:15pmJan 30, 2020",,Variable,view
673,,Blue to Kelah,Mt. Carmel National Park,"Jan 30, 2020 @ 10:15pmJan 30, 2020",,Wet,view
674,,Forest Road,Jezreel Valley,"Jan 30, 2020 @ 8:39pmJan 30, 2020",,Prevalent Mud,view
675,,Kamikaze,Ofer Forest,"Jan 29, 2020 @ 8:44pmJan 29, 2020",E-Bike,Variable,view
676,,Berms,Ofer Forest,"Jan 29, 2020 @ 8:44pmJan 29, 2020",E-Bike,Wet,view
677,,Dushbag,Ofer Forest,"Jan 29, 2020 @ 8:44pmJan 29, 2020",E-Bike,Wet,view
678,,Bathroom,Ofer Forest,"Jan 29, 2020 @ 8:44pmJan 29, 2020",E-Bike,Wet,view
679,,Ron,Ofer Forest,"Jan 29, 2020 @ 8:44pmJan 29, 2020",E-Bike,Variable,view
680,,Zeevik The Fox,Mishmar HaEmek,"Jan 26, 2020 @ 10:15pmJan 26, 2020",E-Bike,Wet,view
681,,Snail Hunting,Mishmar HaEmek,"Jan 26, 2020 @ 10:15pmJan 26, 2020",E-Bike,Wet,view
682,,Deers,Mishmar HaEmek,"Jan 26, 2020 @ 10:15pmJan 26, 2020",E-Bike,Wet,view
683,,Deers 2,Mishmar HaEmek,"Jan 26, 2020 @ 10:15pmJan 26, 2020",E-Bike,Wet,view
684,,Petra/ The Eagle,Mishmar HaEmek,"Jan 26, 2020 @ 10:15pmJan 26, 2020",E-Bike,Wet,view
685,,Carobs 2,Mishmar HaEmek,"Jan 26, 2020 @ 10:15pmJan 26, 2020",E-Bike,Wet,view
686,,Hill Crosser,Ma'anit,"Jan 24, 2020 @ 11:52pmJan 24, 2020",,Wet,view
687,,Snail of a Rabit,Mishmar HaEmek,"Jan 24, 2020 @ 3:39amJan 24, 2020",,Wet,view
688,,Pinky,Mishmar HaEmek,"Jan 24, 2020 @ 3:39amJan 24, 2020",,Wet,view
689,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Jan 24, 2020 @ 3:39amJan 24, 2020",,Wet,view
690,,Yossi #2,Mishmar HaEmek,"Jan 24, 2020 @ 3:39amJan 24, 2020",,Wet,view
691,,Dan7,Mishmar HaEmek,"Jan 24, 2020 @ 3:39amJan 24, 2020",,Wet,view
692,,Stepup Descent,Ofer Forest,"Jan 20, 2020 @ 1:36pmJan 20, 2020",,Wet,view
693,,Aristo,Mishmar HaEmek,"Jan 17, 2020 @ 10:43pmJan 17, 2020",,Wet,view
694,,Pinky,Mishmar HaEmek,"Jan 17, 2020 @ 10:43pmJan 17, 2020",,Wet,view
695,,The Brain,Mishmar HaEmek,"Jan 17, 2020 @ 10:43pmJan 17, 2020",,Wet,view
696,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Jan 17, 2020 @ 10:43pmJan 17, 2020",,Wet,view
697,,Dan7,Mishmar HaEmek,"Jan 17, 2020 @ 10:43pmJan 17, 2020",,Wet,view
698,,Forest Road,Mishmar HaEmek,"Jan 16, 2020 @ 11:31pmJan 16, 2020",,Ideal,view
699,,Snail of a Rabit,Mishmar HaEmek,"Jan 16, 2020 @ 11:31pmJan 16, 2020",,Variable,view
700,,To Pinky,Mishmar HaEmek,"Jan 16, 2020 @ 11:31pmJan 16, 2020",,Ideal,view
701,,Tom's climb,Mishmar HaEmek,"Jan 16, 2020 @ 11:31pmJan 16, 2020",,Ideal,view
702,,Yossi #2,Mishmar HaEmek,"Jan 16, 2020 @ 11:31pmJan 16, 2020",,Variable,view
703,,Nettles,Mishmar HaEmek,"Jan 16, 2020 @ 10:46pmJan 16, 2020",Fa reporter,Variable,view
704,,The Orange,Horeshan,"Jan 16, 2020 @ 4:49amJan 16, 2020",,Variable,view
705,,Forest Road,Horeshan,"Jan 16, 2020 @ 4:49amJan 16, 2020",,Variable,view
706,,Rocks,Horeshan,"Jan 16, 2020 @ 4:49amJan 16, 2020",,Variable,view
707,,Georgie,Horeshan,"Jan 16, 2020 @ 4:49amJan 16, 2020",,Variable,view
708,,Cyprus,Horeshan,"Jan 16, 2020 @ 4:49amJan 16, 2020",,Variable,view
709,,Cyprus Liar switch,Horeshan,"Jan 16, 2020 @ 4:49amJan 16, 2020",,Variable,view
710,,Forest Road,Horeshan,"Jan 16, 2020 @ 4:49amJan 16, 2020",,Wet,view
711,,Orange Connection,Horeshan,"Jan 16, 2020 @ 4:49amJan 16, 2020",,Variable,view
712,,Kiryat Ata official,Kiryat Ata Forest,"Jan 11, 2020 @ 3:30amJan 11, 2020",Mud and floods in many segments. Several fallen trees near trail and drifted rocks on it.,Prevalent Mud,view
713,,Carmel Scenic Route,Haifa,"Jan 9, 2020 @ 10:46pmJan 9, 2020",,Wet,view
714,,HaZore'a South / Blue singletrack,Ramot Menashe,"Jan 2, 2020 @ 10:45pmJan 2, 2020",,Prevalent Mud,view
715,,HaZore'a South / Blue singletrack,Ramot Menashe,"Jan 2, 2020 @ 10:45pmJan 2, 2020",,Prevalent Mud,view
716,,Shooting Range,Ma'anit,"Dec 26, 2019 @ 12:36amDec 26, 2019",,Dry,view
717,,Another Short Singletrack,Horeshan,"Dec 24, 2019 @ 1:47amDec 24, 2019",,Variable,view
718,,S's On The Black,Horeshan,"Dec 24, 2019 @ 1:47amDec 24, 2019",large tree blocking trail,Variable,view
719,,New Zealand - The Jungle,Horeshan,"Dec 24, 2019 @ 1:47amDec 24, 2019",,Variable,view
720,,Forest Road,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
721,,Rabbit - Upper,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
722,,Forest Road,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
723,,Shafran,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
724,,Kamikaze,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
725,,Gozemet,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
726,,Dushbag,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
727,,Darkness,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
728,,Forest Road,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
729,,Burial Cave,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
730,,Forest Road,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
731,,Ron,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
732,,Rabbit - Lower,Ofer Forest,"Dec 23, 2019 @ 10:34pmDec 23, 2019",,Ideal,view
733,,Misgav KKL 08,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
734,,Misgav KKL 09,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
735,,Foxie,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
736,,Misgav KKL 10,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
737,,Flat Tyre,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
738,,Zohar,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
739,,Aurora,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
740,,Kabush,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
741,,Dreamer 3,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
742,,Yossi's water,Misgav,"Dec 20, 2019 @ 11:08pmDec 20, 2019",,Ideal,view
743,,Foxie,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
744,,Misgav KKL 07,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
745,,Misgav KKL 05,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
746,,Intelligents,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
747,,Yaad DH,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
748,,Flat Tyre,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
749,,Zohar,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
750,,Be'orot,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
751,,Mini Enduro,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
752,,Dreamer 3,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
753,,Yossi's water,Misgav,"Dec 20, 2019 @ 9:58pmDec 20, 2019",,Ideal,view
754,,Forest Road,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
755,,The Orange,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
756,,Horeshan access,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Variable,view
757,,Ethiopia,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
758,,Forest Road,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
759,,Millis,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
760,,Georgie,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
761,,Cyprus,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
762,,Cyprus Liar switch,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
763,,Milwaukee,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
764,,Orange Connection,Horeshan,"Dec 20, 2019 @ 3:16amDec 20, 2019",,Ideal,view
765,,Cemetery,Ma'anit,"Dec 20, 2019 @ 1:39amDec 20, 2019",Second part (After 4x4 crossing) is not discernable due to overgrown vegetation and lack of use. I literally could find it.(First part - OK),Unknown,view
766,,Tower Descent,Ma'anit,"Dec 20, 2019 @ 1:11amDec 20, 2019","Trail ending is not clear and not marked. However, it is not hard to skip to the side street (where the trail ends)",Ideal,view
767,,The Quarry,Ma'anit,"Dec 20, 2019 @ 12:55amDec 20, 2019",,Ideal,view
768,,The Tower,Ma'anit,"Dec 20, 2019 @ 12:41amDec 20, 2019",Overgrown vegetation,Ideal,view
769,,The Tower,Ma'anit,"Dec 20, 2019 @ 12:40amDec 20, 2019",Overgrown vegetation,Ideal,view
770,,Maya,Ma'anit,"Dec 20, 2019 @ 12:39amDec 20, 2019",,Ideal,view
771,,Shooting Range,Ma'anit,"Dec 20, 2019 @ 12:37amDec 20, 2019",,Ideal,view
772,,Pinky,Mishmar HaEmek,"Dec 19, 2019 @ 10:51pmDec 19, 2019",,Ideal,view
773,,The Brain,Mishmar HaEmek,"Dec 19, 2019 @ 10:51pmDec 19, 2019",,Ideal,view
774,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Dec 19, 2019 @ 10:51pmDec 19, 2019",,Ideal,view
775,,Dan7,Mishmar HaEmek,"Dec 19, 2019 @ 10:51pmDec 19, 2019",,Ideal,view
776,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Dec 13, 2019 @ 9:59pmDec 13, 2019",,Prevalent Mud,view
777,,Carmel Coast - Kerem Maharal to Zeitim,Ofer Forest,"Dec 13, 2019 @ 9:59pmDec 13, 2019",,Prevalent Mud,view
778,,Carmel Coast - Bat Shlomo Kerem Maharal,Ofer Forest,"Dec 13, 2019 @ 9:59pmDec 13, 2019",,Prevalent Mud,view
779,,Furadis Loop,Ofer Forest,"Dec 13, 2019 @ 9:59pmDec 13, 2019",,Prevalent Mud,view
780,,Connector,Ofer Forest,"Dec 13, 2019 @ 9:59pmDec 13, 2019",,Wet,view
781,,Carmel Coast - Zeitim to Fureidis,Ofer Forest,"Dec 13, 2019 @ 9:59pmDec 13, 2019",,Prevalent Mud,view
782,,Tom's climb,Mishmar HaEmek,"Dec 9, 2019 @ 10:43pmDec 9, 2019",,Wet,view
783,,Hir'bat beit rosh / Yossi #1,Mishmar HaEmek,"Dec 9, 2019 @ 10:43pmDec 9, 2019",,Wet,view
784,,Dan7,Mishmar HaEmek,"Dec 9, 2019 @ 10:43pmDec 9, 2019",,Wet,view
785,,Forest Road,Kfar Glikson,"Dec 7, 2019 @ 3:12amDec 7, 2019",,Unknown,view
786,,Jump It,Kfar Glikson,"Dec 7, 2019 @ 3:12amDec 7, 2019",,Dry,view
787,,Swing,Kfar Glikson,"Dec 7, 2019 @ 3:12amDec 7, 2019",,Dry,view
788,,The Installations,Kfar Glikson,"Dec 7, 2019 @ 3:12amDec 7, 2019",,Dry,view
