שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,pop,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,coords,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,name,אשכול רשויות מקומיות,c_str,lon,lat,lonlat,distance,duration,g_orig,g_dest,crow_dist,speed,ratio,mode
גונן,852,GONEN,2,הצפון,21,צפת,211.0,1.0,מועצה אזורית הגליל העליון,,1.0,369.0,368.0,355.0,1.0,1951,330,15.0,2607478109.0,89.0,253.0,10004591.0,2021,Gonen,211.0,2607478109,35.64681328345254,33.124316265538404,"33.1243,35.6468",106813,4966,"Haifa, Israel","33.1242564,35.646944",69404.27627009549,50.31320873385899,0.6497736817624773,driving
גורן,755,GOREN,2,הצפון,24,עכו,244.0,52.0,מועצה אזורית מעלה יוסף,,1.0,686.0,680.0,400.0,6.0,1950,310,1.0,2224377349.0,367.0,255.0,10004302.0,2021,Goren,212.0,2224377349,35.23628117370385,33.05657191292759,"33.0566,35.2363",54766,3080,"Haifa, Israel","ת.ד 59 מועצה אזורית מעלה הגורן, גורן, Goren, Israel",35258.00198823633,41.21065167456194,0.6437936308701809,driving
גורנות הגליל,1219,GORNOT HAGALIL,2,הצפון,24,עכו,244.0,52.0,מועצה אזורית מעלה יוסף,,1.0,244.0,243.0,218.0,1.0,1980,350,,2236377386.0,388.0,255.0,10004302.0,2021,Gornot HaGalil,212.0,2236377386,35.24913155719179,33.059904101194725,"33.0599,35.2491",56486,3171,"Haifa, Israel","18, Gornot HaGalil, Israel",36283.47836535992,41.192217633331985,0.6423446228332671,driving
גזית,457,GAZIT,2,הצפון,23,יזרעאל,233.0,9.0,מועצה אזורית עמק יזרעאל,,1.0,804.0,804.0,767.0,0.0,1948,330,15.0,2422172722.0,129.0,254.0,10004394.0,2021,Gazit,213.0,2422172722,35.446932207971756,32.63913069587769,"32.6391,35.4469",69218,3429,"Haifa, Israel","Odem St 12, Gazit, 1934000, Israel",44888.78293448892,47.12733116481776,0.6485131459228657,driving
גזר,370,GEZER,4,המרכז,43,רמלה,432.0,30.0,מועצה אזורית גזר,143.0,1.0,311.0,311.0,301.0,0.0,1945,330,15.0,1925264268.0,122.0,426.0,10002228.0,2021,Gezer,,1925264268,34.91976396854884,31.876687716141237,"31.8767,34.9198",123640,4964,"Haifa, Israel","Unnamed Road, Gezer, Israel",103395.02466988964,74.98430475656782,0.836258691927286,driving
גיאה,706,GE'A,6,הדרום,61,אשקלון,614.0,36.0,מועצה אזורית חוף אשקלון,,1.0,980.0,980.0,959.0,0.0,1949,310,1.0,1624261519.0,54.0,633.0,10001829.0,2021,Ge'a,620.0,1624261519,34.60326686743377,31.627674295791806,"31.6277,34.6033",149782,6513,"Haifa, Israel","Derech HaKfar 37, Ge'a, Israel",136194.71755980662,75.28035977511192,0.9092862797920086,driving
גיבתון,196,GIBBETON,4,המרכז,44,רחובות,441.0,28.0,מועצה אזורית ברנר,143.0,1.0,390.0,390.0,387.0,0.0,1933,350,,1811964406.0,42.0,456.0,10002241.0,2021,Gibbeton,420.0,1811964406,34.79997054737242,31.888808177179573,"31.8888,34.8000",120176,5484,"Haifa, Israel","Ha-Meyasdim St 45, Gibton, Israel",103581.61020502498,67.99668065975382,0.8619159416607723,driving
גיזו,1043,GIZO,1,ירושלים,11,ירושלים,112.0,26.0,מועצה אזורית מטה יהודה,,1.0,207.0,207.0,205.0,0.0,1968,350,,1943163471.0,196.0,151.0,15000597.0,2021,Gizo,,1943163471,34.938887337563294,31.80485340893886,"31.8049,34.9389",130269,5325,"Haifa, Israel","49, Gizo, Israel",111238.23621520404,75.2033146243633,0.853911799547122,driving
גינוסר,262,GINNOSAR,2,הצפון,22,כנרת,221.0,6.0,מועצה אזורית עמק הירדן,,1.0,597.0,595.0,569.0,2.0,1937,330,15.0,2493075035.0,-203.0,214.0,10004552.0,2021,Ginnosar,214.0,2493075035,35.52323294917392,32.84752272166263,"32.8475,35.5232",73230,3442,"Haifa, Israel","Kibbutz Ginnosar street Kibbutz, Ginosar, Israel",48329.3672995541,50.547856559673086,0.6599667800021043,driving
גיניגר,92,GINNEGAR,2,הצפון,23,יזרעאל,234.0,9.0,מועצה אזורית עמק יזרעאל,,1.0,667.0,663.0,647.0,4.0,1922,330,15.0,2244072994.0,107.0,254.0,10004411.0,2021,Ginnegar,213.0,2244072994,35.25714160429092,32.66388053836675,"32.6639,35.2571",39524,2238,"Haifa, Israel","שדרת הדקלים, Genigar, Israel",27949.832146397624,44.9595155169935,0.7071610197955072,driving
גינתון,863,GINNATON,4,המרכז,43,רמלה,432.0,25.0,מועצה אזורית חבל מודיעין,142.0,1.0,920.0,914.0,897.0,6.0,1949,310,1.0,1919965223.0,57.0,424.0,10002261.0,2021,Ginnaton,,1919965223,34.91389215322614,31.962797844330034,"31.9628,34.9139",111518,4439,"Haifa, Israel","Derech HaZayit 74, Ginaton, Israel",93904.79094628806,76.15617197716536,0.8420594966398973,driving
גיתה,1206,GITTA,2,הצפון,24,עכו,243.0,52.0,מועצה אזורית מעלה יוסף,,1.0,300.0,300.0,260.0,0.0,1980,370,13.0,2236176356.0,430.0,255.0,10004484.0,2021,Gitta,212.0,2236176356,35.24887078152335,32.96703279975571,"32.9670,35.2489",47263,2821,"Haifa, Israel","43, Gita, Israel",28874.294075465437,36.8477343749293,0.6109280848753874,driving
גיתית,3613,GITTIT,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75.0,מועצה אזורית ערבות הירדן,,1.0,498.0,498.0,491.0,0.0,1973,310,9.0,2375966764.0,301.0,712.0,10003299.0,2021,Gittit,710.0,2375966764,35.396555993197666,32.10195257235861,"32.1020,35.3966",140916,6134,"Haifa, Israel",8G4Q492W+RJ,86081.22598246441,50.520445636920755,0.6108690708114367,driving
גלאון,393,GAL'ON,6,הדרום,61,אשקלון,611.0,35.0,מועצה אזורית יואב,,1.0,603.0,603.0,578.0,0.0,1946,330,15.0,1856061576.0,199.0,632.0,10001813.0,2021,Gal'on,420.0,1856061576,34.84756345753352,31.63373122161243,"31.6337,34.8476",159749,6501,"Haifa, Israel","אבוקדו, Gal'on, Israel",130952.56343003629,72.51641722014008,0.819739487759149,driving
גלגל,3606,GILGAL,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75.0,מועצה אזורית ערבות הירדן,,1.0,223.0,197.0,180.0,26.0,1970,330,15.0,2424165627.0,-248.0,712.0,10003299.0,2021,Gilgal,710.0,2424165627,35.44734950285648,31.99933079963239,"31.9993,35.4473",133603,6717,"Haifa, Israel",Gilgal/Entry,98448.19375103785,52.76365900010961,0.7368711312697908,driving
גליל ים,346,GELIL YAM,5,תל אביב,51,תל אביב,511.0,19.0,מועצה אזורית חוף השרון,121.0,1.0,542.0,542.0,537.0,0.0,1943,330,15.0,1842067381.0,43.0,401.0,10001605.0,2021,Gelil Yam,,1842067381,34.83069774199957,32.15718705685651,"32.1572,34.8307",83073,3840,"Haifa, Israel","5R4J+WC, Glil Yam, Israel",73780.4078188269,69.16913233015023,0.8881394414409844,driving
גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ),2,הצפון,23,יזרעאל,236.0,13.0,מועצה אזורית מגידו,,1.0,497.0,496.0,482.0,1.0,1945,330,15.0,2074371811.0,185.0,254.0,10004411.0,2021,Gal'ed (Even Yizhaq),213.0,2074371811,35.07639040803485,32.55715269917868,"32.5572,35.0764",40240,2462,"Haifa, Israel","Unnamed Road, Gal'ed, Israel",28116.615910505854,41.11284211121896,0.698723059406209,driving
גן הדרום,1072,GAN HADAROM,4,המרכז,44,רחובות,441.0,32.0,מועצה אזורית גדרות,143.0,1.0,633.0,633.0,615.0,0.0,1953,310,10.0,1717663473.0,39.0,456.0,10001821.0,2021,Gan HaDarom,,1717663473,34.700756985783684,31.804314404343373,"31.8043,34.7008",127206,5345,"Haifa, Israel","HaZayit St 236, Gan HaDarom, Israel",114811.43648844188,77.32856339726675,0.9025630590415694,driving
גן השומרון,225,GAN HASHOMERON,3,חיפה,32,חדרה,324.0,14.0,מועצה אזורית מנשה,,1.0,839.0,838.0,830.0,1.0,1934,310,10.0,2000870764.0,44.0,351.0,10004333.0,2021,Gan Hashomeron,,2000870764,34.998346855264955,32.46263743602243,"32.4626,34.9983",49842,2391,"Haifa, Israel","210, Gan HaShomron, Israel",37914.822921535015,57.08630803744293,0.7607002712879702,driving
גן חיים,239,GAN HAYYIM,4,המרכז,42,פתח תקווה,421.0,20.0,מועצה אזורית דרום השרון,141.0,1.0,811.0,809.0,797.0,2.0,1935,310,1.0,1912867798.0,61.0,417.0,10002133.0,2021,Gan Hayyim,410.0,1912867798,34.905627257744925,32.194990336580766,"32.1950,34.9056",83600,3972,"Haifa, Israel","Ha-Kharuv St 5, Gan Haim, Israel",68350.0361195778,61.94867322016115,0.8175841641097822,driving
גן שורק,311,GAN SOREQ,4,המרכז,44,רחובות,442.0,27.0,מועצה אזורית גן רווה,143.0,1.0,702.0,700.0,700.0,2.0,1950,310,1.0,1775365029.0,37.0,456.0,15002488.0,2021,Gan Soreq,,1775365029,34.76101635084444,31.94486099929816,"31.9449,34.7610",110325,4769,"Haifa, Israel","28, Gan Sorek, Israel",98268.3510122066,74.18034465169717,0.8907169817557816,driving
גן שלמה,144,GAN SHELOMO,4,המרכז,44,רחובות,441.0,28.0,מועצה אזורית ברנר,143.0,1.0,590.0,590.0,546.0,0.0,1927,330,15.0,1810764287.0,45.0,456.0,15002488.0,2021,Gan Shelomo,420.0,1810764287,34.79874922520208,31.878072675143617,"31.8781,34.7987",120301,5448,"Haifa, Israel","1, Kvutzat Shiller, 76802, Israel",104775.76130165895,69.23508456056759,0.8709467194924311,driving
גן שמואל,72,GAN SHEMU'EL,3,חיפה,32,חדרה,324.0,14.0,מועצה אזורית מנשה,,1.0,948.0,947.0,931.0,1.0,1913,330,15.0,1955870649.0,23.0,351.0,10004261.0,2021,Gan Shemu'el,,1955870649,34.950512537705784,32.452180052290885,"32.4522,34.9505",51624,2500,"Haifa, Israel","Unnamed Road, Gan Shmuel, Israel",39443.10179862706,56.79806659002296,0.7640458274954878,driving
גנות,836,GANNOT,4,המרכז,43,רמלה,432.0,40.0,מועצה אזורית שדות דן,133.0,1.0,585.0,585.0,581.0,0.0,1953,310,10.0,1839465836.0,27.0,425.0,10002207.0,2021,Gannot,,1839465836,34.82851237131281,32.01785425649177,"32.0179,34.8285",105186,4581,"Haifa, Israel","HaEtrog St 77, Ganot, Israel",88981.99706399308,69.9269132133541,0.84594905276361,driving
גנות הדר,549,GANNOT HADAR,4,המרכז,41,השרון,411.0,18.0,מועצה אזורית לב השרון,141.0,1.0,963.0,963.0,952.0,0.0,1964,350,,1908469192.0,49.0,412.0,15000060.0,2021,Gannot Hadar,410.0,1908469192,34.90054260309801,32.32068457703711,"32.3207,34.9005",65773,3162,"Haifa, Israel","HaYasmin St 12, Ganot Hadar, Israel",54634.83810247364,62.202851729571506,0.8306575358045647,driving
גני הדר,1103,GANNE HADAR,4,המרכז,43,רמלה,432.0,30.0,מועצה אזורית גזר,143.0,1.0,354.0,354.0,351.0,0.0,1958,350,,1862764289.0,89.0,426.0,10002241.0,2021,Ganne Hadar,,1862764289,34.8537045638742,31.878416495835502,"31.8784,34.8537",125826,5067,"Haifa, Israel","ההדרים 160, Ganei Hadar West, Israel",103889.94831971405,73.81168619517872,0.8256636014791383,driving
גני טל,1371,GANNE TAL,4,המרכז,44,רחובות,441.0,31.0,מועצה אזורית נחל שורק,143.0,1.0,909.0,909.0,909.0,0.0,2010,370,2.0,1803963293.0,78.0,456.0,15002488.0,2021,Ganne Tal,420.0,1803963293,34.791961551947736,31.788409655182058,"31.7884,34.7920",136535,5322,"Haifa, Israel","HaShita St 1131, Ganei Tal, 7681801, Israel",114696.2488055728,77.58483571966593,0.8400501615378679,driving
גני יוחנן,862,GANNE YOHANAN,4,המרכז,44,רחובות,441.0,30.0,מועצה אזורית גזר,143.0,1.0,602.0,602.0,594.0,0.0,1950,310,1.0,1848064064.0,63.0,426.0,10002241.0,2021,Ganne Yohanan,,1848064064,34.838249073798934,31.858081975530226,"31.8581,34.8382",130374,5583,"Haifa, Israel","Ha-Vered St 162, Ganei Yohanan, Israel",106338.36838261926,68.56853415322037,0.815640912932174,driving
גני עם,218,GANNE AM,4,המרכז,42,פתח תקווה,421.0,20.0,מועצה אזורית דרום השרון,142.0,1.0,234.0,234.0,230.0,0.0,1934,350,,1908667313.0,33.0,417.0,10002133.0,2021,Ganne Am,410.0,1908667313,34.901318029312236,32.15124378420066,"32.1512,34.9013",88872,3935,"Haifa, Israel","Beya'ar St 53, Ganei Am, Israel",73223.60461372705,66.9898288715165,0.8239220971028788,driving
געש,842,GA'ASH,4,המרכז,41,השרון,411.0,19.0,מועצה אזורית חוף השרון,141.0,1.0,921.0,921.0,909.0,0.0,1951,330,15.0,1836668178.0,29.0,401.0,15000060.0,2021,Ga'ash,,1836668178,34.82467513023754,32.22904046469174,"32.2290,34.8247",74364,3275,"Haifa, Israel","Hatzer, Ga'ash, Israel",66165.93797091371,72.73202341840897,0.8897576511606922,driving
געתון,463,GA'TON,2,הצפון,24,עכו,243.0,4.0,מועצה אזורית מטה אשר,,1.0,699.0,696.0,678.0,3.0,1948,330,15.0,2204676792.0,345.0,201.0,10004302.0,2021,Ga'ton,212.0,2204676792,35.21518178369085,33.00635297164635,"33.0064,35.2152",46497,2699,"Haifa, Israel","141, Ga'aton, Israel",29672.574795456072,39.578091613057374,0.6381610597555987,driving
גפן,39,GEFEN,1,ירושלים,11,ירושלים,112.0,26.0,מועצה אזורית מטה יהודה,,1.0,422.0,422.0,416.0,0.0,1955,310,2.0,1885762761.0,159.0,151.0,15000597.0,2021,Gefen,,1885762761,34.878496376063026,31.74068282953258,"31.7407,34.8785",144652,5685,"Haifa, Israel","Mahmoud Maghalseh 55, Moghalis, 52300, Israel",118812.15334018948,75.23724749774532,0.8213654380180674,driving
גרופית,1129,GEROFIT,6,הדרום,62,באר שבע,625.0,53.0,מועצה אזורית חבל אילות,,1.0,253.0,251.0,231.0,2.0,1963,330,15.0,2059442806.0,118.0,608.0,10001955.0,2021,Gerofit,610.0,2059442806,35.06443819784043,29.941139168706602,"29.9411,35.0644",383086,15035,"Haifa, Israel","Grofit, Grofit, Israel",318324.33534765115,76.21999383116356,0.8309474513494389,driving
גשור,4022,GESHUR,2,הצפון,29,גולן,294.0,71.0,מועצה אזורית גולן,,1.0,309.0,309.0,299.0,0.0,1971,330,15.0,2674574724.0,348.0,219.0,10004579.0,2021,Geshur,211.0,2674574724,35.71694565263495,32.81883715813998,"32.8188,35.7169",104336,5357,"Haifa, Israel","Geshur, Gshur",66213.92359128526,44.49694323849672,0.6346220249126405,driving
גשר,305,GESHER,2,הצפון,23,יזרעאל,231.0,7.0,מועצה אזורית עמק המעיינות,,1.0,455.0,454.0,436.0,1.0,1939,330,15.0,2520072518.0,-199.0,202.0,10004568.0,2021,Gesher,214.0,2520072518,35.55119409779318,32.62049107025129,"32.6205,35.5512",87905,4586,"Haifa, Israel","Unnamed Road, Gesher, Israel",54685.59724697362,42.92807459422264,0.622098825402123,driving
גת (קיבוץ),340,GAT(QIBBUZ),6,הדרום,61,אשקלון,611.0,35.0,מועצה אזורית יואב,,1.0,966.0,966.0,932.0,0.0,1941,330,15.0,1805861511.0,140.0,632.0,10001813.0,2021,Gat(Qibbuz),420.0,1805861511,34.794674756042774,31.627710427349374,"31.6277,34.7947",155019,6248,"Haifa, Israel","117, Gat, 79565, Israel",132282.8897570967,76.2193346871876,0.853333396274629,driving
גת רימון,128,GAT RIMMON,4,המרכז,42,פתח תקווה,422.0,20.0,מועצה אזורית דרום השרון,132.0,1.0,318.0,318.0,309.0,0.0,1926,350,,1888366395.0,68.0,417.0,10002116.0,2021,Gat Rimmon,410.0,1888366395,34.880092946461446,32.068407077158454,"32.0684,34.8801",99439,3987,"Haifa, Israel","Ha-Ilanot St 39, Gat Rimon, Israel",82624.72780288689,74.60472036378049,0.8309086756995433,driving
דבורה,146,DEVORA,2,הצפון,23,יזרעאל,234.0,8.0,מועצה אזורית הגלבוע,,1.0,219.0,217.0,216.0,2.0,1956,310,1.0,2250471761.0,69.0,204.0,10004394.0,2021,Devora,213.0,2250471761,35.263890576168585,32.55269515305272,"32.5527,35.2639",46655,2797,"Haifa, Israel","דולב 55, Dvora, 19206, Israel",36720.296266436104,47.26244782237039,0.7870602564877527,driving
דברת,407,DAVERAT,2,הצפון,23,יזרעאל,234.0,9.0,מועצה אזורית עמק יזרעאל,,1.0,554.0,554.0,523.0,0.0,1946,330,15.0,2330672817.0,170.0,254.0,10004394.0,2021,Daverat,213.0,2330672817,35.34943277400679,32.647847478798326,"32.6478,35.3494",54005,3249,"Haifa, Israel","Dovrat, Dovrat, Israel",36272.53033003887,40.191169340763295,0.671651334691952,driving
דגניה א',62,DEGANYA ALEF,2,הצפון,22,כנרת,221.0,6.0,מועצה אזורית עמק הירדן,,1.0,524.0,523.0,519.0,1.0,1909,330,15.0,2541873489.0,-200.0,214.0,10004552.0,2021,Deganya Alef,214.0,2541873489,35.574782555096796,32.707979436912204,"32.7080,35.5748",74372,3718,"Haifa, Israel","Deganya Alef, Degania Alef, Israel",53994.19336449842,52.280553015652046,0.7260016318573982,driving
דגניה ב',79,DEGANYA BET,2,הצפון,22,כנרת,221.0,6.0,מועצה אזורית עמק הירדן,,1.0,689.0,689.0,678.0,0.0,1920,330,15.0,2542173403.0,-199.0,214.0,10004552.0,2021,Deganya Bet,214.0,2542173403,35.57507045087343,32.70022395842028,"32.7002,35.5751",75077,3795,"Haifa, Israel","Unnamed Road, Degania Bet, Israel",54198.9993227749,51.41407050381809,0.7219121611515498,driving
"דוב""ב",1067,DOVEV,2,הצפון,24,עכו,244.0,2.0,מועצה אזורית מרום הגליל,,1.0,478.0,474.0,470.0,4.0,1963,310,1.0,2383977297.0,768.0,209.0,10004528.0,2021,Dovev,211.0,2383977297,35.40715760137794,33.05172260742538,"33.0517,35.4072",73703,4280,"Haifa, Israel","Oren St 35, Dovev, Israel",46314.57137108208,38.956181527078385,0.628394656541553,driving
דור,738,DOR,3,חיפה,32,חדרה,321.0,15.0,מועצה אזורית חוף הכרמל,243.0,1.0,450.0,450.0,445.0,0.0,1949,310,1.0,1929172372.0,4.0,303.0,10004333.0,2021,Dor,,1929172372,34.92163062882751,32.60748643972315,"32.6075,34.9216",32688,1957,"Haifa, Israel","57, Dor, Israel",23267.725968070594,42.802153032730786,0.7118124684309408,driving
דורות,336,DOROT,6,הדרום,61,אשקלון,614.0,37.0,מועצה אזורית שער הנגב,,1.0,870.0,869.0,841.0,1.0,1941,330,15.0,1663160175.0,105.0,651.0,10001829.0,2021,Dorot,620.0,1663160175,34.64499050755074,31.50665508760905,"31.5067,34.6450",187204,7135,"Haifa, Israel","Unnamed Road, Dorot, Israel",148210.92346968496,74.78056404917531,0.791708101694862,driving
דחי,475,DAHI,2,הצפון,23,יזרעאל,234.0,66.0,מועצה אזורית בוסתן אל-מרג',,2.0,712.0,0.0,0.0,712.0,,450,,2325872519.0,415.0,251.0,10004394.0,2021,Dahi,213.0,2325872519,35.34427500587821,32.62098214395611,"32.6210,35.3443",53133,3177,"Haifa, Israel","Western Quarter, Ed Dahi, Israel",37387.13965967909,42.36503077584033,0.7036519612986107,driving
דישון,2063,DISHON,2,הצפון,21,צפת,212.0,55.0,מועצה אזורית מבואות החרמון,,1.0,336.0,336.0,328.0,0.0,1953,310,6.0,2488277637.0,442.0,253.0,10004591.0,2021,Dishon,211.0,2488277637,35.518935837149854,33.08214699043046,"33.0821,35.5189",89254,5098,"Haifa, Israel","27, Dishon, Israel",56809.289464327514,40.11640684024697,0.6364901232922616,driving
דלייה,300,DALIYYA,2,הצפון,23,יזרעאל,236.0,13.0,מועצה אזורית מגידו,,1.0,843.0,843.0,784.0,0.0,1939,330,15.0,2072972171.0,201.0,254.0,10004411.0,2021,Daliyya,213.0,2072972171,35.07485309431638,32.58961328144393,"32.5896,35.0749",33550,1913,"Haifa, Israel","Unnamed Road, Dalia, Israel",24576.584334795123,46.2497143780776,0.7325360457465014,driving
דלתון,431,DALTON,2,הצפון,21,צפת,212.0,2.0,מועצה אזורית מרום הגליל,,1.0,870.0,870.0,870.0,0.0,1950,310,2.0,2460576912.0,806.0,209.0,10004528.0,2021,Dalton,211.0,2460576912,35.489058188358044,33.01684883225908,"33.0168,35.4891",74738,4313,"Haifa, Israel","123, Dalton, Israel",50732.89188141444,42.34602614725064,0.6788098675561889,driving
דמיידה,1317,DEMEIDE,2,הצפון,24,עכו,241.0,56.0,מועצה אזורית משגב,241.0,2.0,548.0,0.0,0.0,548.0,,450,,2216374673.0,201.0,205.0,10004513.0,2021,Demeide,210.0,2216374673,35.22765219088977,32.81528550591007,"32.8153,35.2277",33067,2143,"Haifa, Israel","784, Israel",20507.470766012917,34.45025420328815,0.620179356035108,driving
דן,303,DAN,2,הצפון,21,צפת,211.0,1.0,מועצה אזורית הגליל העליון,,1.0,781.0,780.0,760.0,1.0,1939,330,15.0,2612479393.0,175.0,253.0,10004591.0,2021,Dan,211.0,2612479393,35.65276008344429,33.240064122342105,"33.2401,35.6528",127250,5692,"Haifa, Israel","Unnamed Road, Dan, Israel",77217.10422465336,48.8372409010457,0.6068141785827376,driving
דקל,1241,DEQEL,6,הדרום,62,באר שבע,622.0,38.0,מועצה אזורית אשכול,,1.0,380.0,376.0,366.0,4.0,1982,310,10.0,1377356740.0,103.0,651.0,10001893.0,2021,Deqel,620.0,1377356740,34.34697913670061,31.195218199764764,"31.1952,34.3470",213557,9235,"Haifa, Israel","Dekel Center, Dekel, Israel",189404.5074505937,73.83391736027475,0.8869037655080081,driving
האון,702,HAON,2,הצפון,22,כנרת,221.0,6.0,מועצה אזורית עמק הירדן,,1.0,183.0,183.0,167.0,0.0,1949,330,15.0,2585973681.0,-188.0,214.0,10004552.0,2021,HaOn,214.0,2585973681,35.621896533915084,32.725144033184876,"32.7251,35.6219",79863,4073,"Haifa, Israel","PJGC+53, HaOn",57997.60480411071,51.26230721698958,0.726213701014371,driving
הבונים,675,HABONIM,3,חיפה,32,חדרה,321.0,15.0,מועצה אזורית חוף הכרמל,243.0,1.0,386.0,386.0,381.0,0.0,1949,320,15.0,1939572694.0,17.0,303.0,10004333.0,2021,HaBonim,,1939572694,34.93262240617808,32.6365459662848,"32.6365,34.9326",28425,1781,"Haifa, Israel","69, HaBonim, Israel",19881.1658384329,40.18652275034163,0.6994253593116235,driving
הדר עם,191,HADAR AM,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,696.0,696.0,691.0,0.0,1933,310,10.0,1909169506.0,27.0,409.0,15000060.0,2021,Hadar Am,,1909169506,34.90119159104509,32.34900128558638,"32.3490,34.9012",59897,3133,"Haifa, Israel","Ha-Hollandim St 5, Hadar Am, Israel",51531.86924392488,59.21312776193092,0.8603414068137782,driving
הודיות,1322,HODAYOT,2,הצפון,22,כנרת,222.0,3.0,מועצה אזורית הגליל התחתון,,1.0,303.0,303.0,175.0,0.0,1959,340,,2410774379.0,284.0,206.0,10004552.0,2021,Hodayot,214.0,2410774379,35.43516742907342,32.78856528013783,"32.7886,35.4352",53572,2589,"Haifa, Israel","7707, Israel",39899.85407225781,55.480677736627314,0.7447893315959421,driving
הודייה,726,HODIYYA,6,הדרום,61,אשקלון,614.0,36.0,מועצה אזורית חוף אשקלון,,1.0,616.0,615.0,598.0,1.0,1949,310,1.0,1660062041.0,52.0,633.0,10001821.0,2021,Hodiyya,620.0,1660062041,34.64071511019788,31.674921102282816,"31.6749,34.6407",146122,6304,"Haifa, Israel","89, Hodaya, Israel",130176.48090755523,74.3393609243653,0.8908753021964881,driving
הזורע,250,HAZOREA,2,הצפון,23,יזרעאל,235.0,13.0,מועצה אזורית מגידו,,1.0,932.0,932.0,884.0,0.0,1936,330,15.0,2114872773.0,65.0,254.0,10004411.0,2021,HaZorea,213.0,2114872773,35.119431025568744,32.64393493446521,"32.6439,35.1194",25288,1615,"Haifa, Israel","Unnamed Road, HaZore'a, Israel",20547.02681223383,45.80142199631071,0.8125208324989651,driving
החותרים,434,HAHOTERIM,3,חיפה,32,חדרה,321.0,15.0,מועצה אזורית חוף הכרמל,223.0,1.0,914.0,913.0,895.0,1.0,1948,330,15.0,1962473978.0,15.0,303.0,10004710.0,2021,HaHoterim,,1962473978,34.95670699673043,32.75237491617054,"32.7524,34.9567",10420,981,"Haifa, Israel","Kibbutz HaHotrim, HaHotrim, Israel",7477.939095843856,27.44197833337195,0.7176525043996024,driving
היוגב,684,HAYOGEV,2,הצפון,23,יזרעאל,234.0,9.0,מועצה אזורית עמק יזרעאל,,1.0,790.0,790.0,781.0,0.0,1949,310,1.0,2194972416.0,86.0,254.0,10004411.0,2021,HaYogev,213.0,2194972416,35.20479991883243,32.61177229766931,"32.6118,35.2048",35763,2134,"Haifa, Israel","HaYogev/Center, HaYogev, Israel",28129.555163969482,47.45379502825217,0.7865546840021665,driving
הילה,1208,HILLA,2,הצפון,24,עכו,243.0,52.0,מועצה אזורית מעלה יוסף,,1.0,562.0,560.0,543.0,2.0,1980,370,19.0,2231777125.0,490.0,255.0,10004484.0,2021,Hilla,212.0,2231777125,35.24419545662425,33.036372472392735,"33.0364,35.2442",52746,3053,"Haifa, Israel","134, Hila, Israel",33967.637786979,40.05355258209119,0.6439850943574679,driving
המעפיל,377,HAMA'PIL,4,המרכז,41,השרון,412.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,870.0,870.0,865.0,0.0,1945,330,15.0,1985969829.0,33.0,409.0,15000060.0,2021,HaMa'pil,,1985969829,34.98270503304532,32.37829755905346,"32.3783,34.9827",61761,2935,"Haifa, Israel","Unnamed Road, HaMa'apil, Israel",47343.19368316576,58.07001610200911,0.7665548433990019,driving
הסוללים,677,HASOLELIM,2,הצפון,23,יזרעאל,237.0,9.0,מועצה אזורית עמק יזרעאל,242.0,1.0,989.0,986.0,963.0,3.0,1949,330,6.0,2225673956.0,171.0,254.0,10004426.0,2021,HaSolelim,213.0,2225673956,35.23755894712796,32.75063157412708,"32.7506,35.2376",33745,1794,"Haifa, Israel","HaSolelim/Office, HaSolelim, Israel",22192.089425613598,44.532620920963744,0.6576408186579819,driving
העוגן,423,HAOGEN,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,952.0,952.0,922.0,0.0,1947,330,15.0,1930669651.0,15.0,409.0,15000060.0,2021,HaOgen,,1930669651,34.923990589716944,32.36212946182573,"32.3621,34.9240",59486,3095,"Haifa, Israel","Unnamed Road, HaOgen, Israel",49715.606707912186,57.827523149752466,0.8357530630385668,driving
הר עמשא,1261,HAR AMASA,6,הדרום,62,באר שבע,623.0,51.0,מועצה אזורית תמר,,1.0,240.0,235.0,203.0,5.0,1983,330,,2097158352.0,813.0,656.0,10001937.0,2021,Har Amasa,,2097158352,35.10202166270648,31.343422243678695,"31.3434,35.1020",220222,8730,"Haifa, Israel","1, Har Amasa, 9040300, Israel",162591.62995324057,67.04809482607858,0.7383078436906421,driving
הראל,464,HAR'EL,1,ירושלים,11,ירושלים,112.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,269.0,269.0,255.0,0.0,1948,330,15.0,1953163517.0,199.0,151.0,15000597.0,2021,Har'el,,1953163517,34.949436180858356,31.80902340417702,"31.8090,34.9494",130953,5361,"Haifa, Israel","Unnamed Road, Harel, Israel",110721.08768716677,74.3510381782877,0.845502490872044,driving
