שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,pop,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,coords,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,name,אשכול רשויות מקומיות,lon,lat,lonlat,distance,duration,g_orig,g_dest,crow_dist,mode,speed,ratio
הודיות,1322,HODAYOT,2,הצפון,22,כנרת,222.0,3.0,מועצה אזורית הגליל התחתון,,1.0,303.0,303.0,175.0,0.0,1959,340,,2410774379.0,284.0,206.0,10004552.0,2021,Hodayot,214.0,35.43516742907342,32.78856528013783,"32.7886,35.4352",69809,6372,"Hof HaCarmel Regional Council, Israel","7707, Israel",39899.85407225781,transit,22.542290436303848,0.5715574506475929
הודייה,726,HODIYYA,6,הדרום,61,אשקלון,614.0,36.0,מועצה אזורית חוף אשקלון,,1.0,616.0,615.0,598.0,1.0,1949,310,1.0,1660062041.0,52.0,633.0,10001821.0,2021,Hodiyya,620.0,34.64071511019788,31.674921102282816,"31.6749,34.6407",136324,11266,"Hof HaCarmel Regional Council, Israel","89, Hodaya, Israel",130176.48090755523,transit,41.59731326710446,0.9549050857336583
הזורע,250,HAZOREA,2,הצפון,23,יזרעאל,235.0,13.0,מועצה אזורית מגידו,,1.0,932.0,932.0,884.0,0.0,1936,330,15.0,2114872773.0,65.0,254.0,10004411.0,2021,HaZorea,213.0,35.119431025568744,32.64393493446521,"32.6439,35.1194",70231,6280,"Hof HaCarmel Regional Council, Israel","Unnamed Road, HaZore'a, Israel",20547.02681223383,transit,11.778550401917483,0.29256349492722344
החותרים,434,HAHOTERIM,3,חיפה,32,חדרה,321.0,15.0,מועצה אזורית חוף הכרמל,223.0,1.0,914.0,913.0,895.0,1.0,1948,330,15.0,1962473978.0,15.0,303.0,10004710.0,2021,HaHoterim,,34.95670699673043,32.75237491617054,"32.7524,34.9567",10457,1711,"Hof HaCarmel Regional Council, Israel","Kibbutz HaHotrim, HaHotrim, Israel",7477.939095843856,transit,15.733828606100458,0.7151132347560348
היוגב,684,HAYOGEV,2,הצפון,23,יזרעאל,234.0,9.0,מועצה אזורית עמק יזרעאל,,1.0,790.0,790.0,781.0,0.0,1949,310,1.0,2194972416.0,86.0,254.0,10004411.0,2021,HaYogev,213.0,35.20479991883243,32.61177229766931,"32.6118,35.2048",48711,5464,"Hof HaCarmel Regional Council, Israel","HaYogev/Center, HaYogev, Israel",28129.555163969482,transit,18.533381879628504,0.5774784989831759
הילה,1208,HILLA,2,הצפון,24,עכו,243.0,52.0,מועצה אזורית מעלה יוסף,,1.0,562.0,560.0,543.0,2.0,1980,370,19.0,2231777125.0,490.0,255.0,10004484.0,2021,Hilla,212.0,35.24419545662425,33.036372472392735,"33.0364,35.2442",72255,8711,"Hof HaCarmel Regional Council, Israel","134, Hila, Israel",33967.637786979,transit,14.03782528218625,0.47010778198019515
המעפיל,377,HAMA'PIL,4,המרכז,41,השרון,412.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,870.0,870.0,865.0,0.0,1945,330,15.0,1985969829.0,33.0,409.0,15000060.0,2021,HaMa'pil,,34.98270503304532,32.37829755905346,"32.3783,34.9827",,,"Hof HaCarmel Regional Council, Israel","32.3783,34.9827",47343.19368316576,transit,,
הסוללים,677,HASOLELIM,2,הצפון,23,יזרעאל,237.0,9.0,מועצה אזורית עמק יזרעאל,242.0,1.0,989.0,986.0,963.0,3.0,1949,330,6.0,2225673956.0,171.0,254.0,10004426.0,2021,HaSolelim,213.0,35.23755894712796,32.75063157412708,"32.7506,35.2376",59870,6048,"Hof HaCarmel Regional Council, Israel","HaSolelim/Office, HaSolelim, Israel",22192.089425613598,transit,13.209577039055713,0.3706712781963187
העוגן,423,HAOGEN,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,952.0,952.0,922.0,0.0,1947,330,15.0,1930669651.0,15.0,409.0,15000060.0,2021,HaOgen,,34.923990589716944,32.36212946182573,"32.3621,34.9240",40549,3717,"Hof HaCarmel Regional Council, Israel","Unnamed Road, HaOgen, Israel",49715.606707912186,transit,48.15070867594401,1.2260624604284245
הר עמשא,1261,HAR AMASA,6,הדרום,62,באר שבע,623.0,51.0,מועצה אזורית תמר,,1.0,240.0,235.0,203.0,5.0,1983,330,,2097158352.0,813.0,656.0,10001937.0,2021,Har Amasa,,35.10202166270648,31.343422243678695,"31.3434,35.1020",234496,16139,"Hof HaCarmel Regional Council, Israel","1, Har Amasa, 9040300, Israel",162591.62995324057,transit,36.268038157981664,0.6933663258786528
הראל,464,HAR'EL,1,ירושלים,11,ירושלים,112.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,269.0,269.0,255.0,0.0,1948,330,15.0,1953163517.0,199.0,151.0,15000597.0,2021,Har'el,,34.949436180858356,31.80902340417702,"31.8090,34.9494",131796,10048,"Hof HaCarmel Regional Council, Israel","Unnamed Road, Harel, Israel",110721.08768716677,transit,39.669179505752425,0.8400944466233177
הררית,1203,HARARIT,2,הצפון,24,עכו,241.0,56.0,מועצה אזורית משגב,,1.0,640.0,640.0,620.0,0.0,1980,370,7.0,2346375011.0,477.0,205.0,10004513.0,2021,Hararit,210.0,35.36652409892097,32.84565980343099,"32.8457,35.3665",81024,8140,"Hof HaCarmel Regional Council, Israel","3, Hararit, Israel",33765.35453777195,transit,14.933080630955654,0.41673275249027386
ורד יריחו,3639,WERED YERIHO,7,אזור יהודה ושומרון,75,ירדן-יריחו,,74.0,מועצה אזורית מגילות ים המלח,,1.0,364.0,364.0,354.0,0.0,1980,310,10.0,2411063710.0,-157.0,713.0,10003314.0,2021,Wered Yeriho,710.0,35.43305844569144,31.82647869529813,"31.8265,35.4331",190651,13518,"Hof HaCarmel Regional Council, Israel","26, Vered Yerikho",115728.62073640518,transit,30.819872366552648,0.607018167942498
ורדון,1133,WARDON,6,הדרום,61,אשקלון,611.0,35.0,מועצה אזורית יואב,,1.0,264.0,264.0,255.0,0.0,1968,350,,1793861911.0,100.0,632.0,10001813.0,2021,Wardon,420.0,34.78186363023306,31.66374262627765,"31.6637,34.7819",173174,12205,"Hof HaCarmel Regional Council, Israel","67, Vardon, Israel",128518.28664389323,transit,37.907892824089764,0.7421338459808818
זבדיאל,815,ZAVDI'EL,6,הדרום,61,אשקלון,611.0,34.0,מועצה אזורית שפיר,,1.0,616.0,616.0,616.0,0.0,1950,310,8.0,1773161858.0,90.0,631.0,10001813.0,2021,Zavdi'el,,34.76006021070031,31.65888879287086,"31.6589,34.7601",181743,12404,"Hof HaCarmel Regional Council, Israel","81, Zavdiel, Israel",129405.44853581426,transit,37.55720853990094,0.7120243890318431
זוהר,44,ZOHAR,6,הדרום,61,אשקלון,612.0,50.0,מועצה אזורית לכיש,,1.0,343.0,343.0,340.0,0.0,1956,310,10.0,1708861156.0,117.0,634.0,10001813.0,2021,Zohar,,34.69261271737911,31.595326552486384,"31.5953,34.6926",,,"Hof HaCarmel Regional Council, Israel","31.5953,34.6926",137594.9567787835,transit,,
זיקים,584,ZIQIM,6,הדרום,61,אשקלון,614.0,36.0,מועצה אזורית חוף אשקלון,,1.0,894.0,878.0,836.0,16.0,1949,330,15.0,1546761323.0,24.0,633.0,10001829.0,2021,Ziqim,620.0,34.521714077928905,31.60958837548904,"31.6096,34.5217",149615,12237,"Hof HaCarmel Regional Council, Israel","העומרים, Zikim, Israel",140439.8772993043,transit,41.315972728405285,0.9386751147899896
זמרת,1065,ZIMRAT,6,הדרום,62,באר שבע,621.0,39.0,מועצה אזורית שדות נגב,,1.0,684.0,683.0,682.0,1.0,1957,310,2.0,1574959529.0,122.0,651.0,10001930.0,2021,Zimrat,620.0,34.55255460693755,31.447957665951115,"31.4480,34.5526",173218,13137,"Hof HaCarmel Regional Council, Israel","Grocery store/Zimrat, Zimrat, Israel",156729.4541917554,transit,42.949382285934334,0.9048104365121141
זנוח,816,ZANOAH,1,ירושלים,11,ירושלים,112.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,539.0,524.0,515.0,15.0,1950,310,8.0,2000062667.0,291.0,151.0,15000597.0,2021,Zanoah,,34.99913535837467,31.73245688564577,"31.7325,34.9991",129457,9631,"Hof HaCarmel Regional Council, Israel","34, Zano'ah, Israel",119098.24766264072,transit,44.518086552331695,0.9199830651308212
זרועה,2064,ZERU'A,6,הדרום,62,באר שבע,621.0,39.0,מועצה אזורית שדות נגב,,1.0,503.0,502.0,500.0,1.0,1953,310,2.0,1642959642.0,134.0,651.0,10001930.0,2021,Zeru'a,620.0,34.62402448177201,31.45849249307255,"31.4585,34.6240",172045,12541,"Hof HaCarmel Regional Council, Israel","22, Zru'a, Israel",153881.14922084552,transit,44.172883916357854,0.8944238380705368
זרחיה,818,ZERAHYA,6,הדרום,61,אשקלון,611.0,34.0,מועצה אזורית שפיר,,1.0,755.0,755.0,755.0,0.0,1950,310,2.0,1759462110.0,72.0,631.0,10001821.0,2021,Zerahya,,34.74550393138517,31.681563733710256,"31.6816,34.7455",178365,11758,"Hof HaCarmel Regional Council, Israel","Kupat Holim Clalit Zrah'ya, Zrahia, Israel",127185.18426592203,transit,38.94086267709809,0.7130613307875537
ח'ואלד,1321,KHAWALED,3,חיפה,31,חיפה,311.0,12.0,מועצה אזורית זבולון,222.0,2.0,729.0,0.0,0.0,729.0,,450,,2131074174.0,65.0,301.0,10004207.0,2021,Khawaled,310.0,35.13660117632435,32.77027468300427,"32.7703,35.1366",47224,6505,"Hof HaCarmel Regional Council, Israel","Khawaled Mosque, Israel",12517.009701958812,transit,6.92716908947759,0.2650561092232511
חבצלת השרון,235,HAVAZZELET HASHARON,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,485.0,485.0,470.0,0.0,1935,310,10.0,1872969635.0,23.0,409.0,10002089.0,2021,Havazzelet HaSharon,,34.86269291677278,32.36053547224733,"32.3605,34.8627",43976,4224,"Hof HaCarmel Regional Council, Israel","HaYam Road 21, Havatselet HaSharon, Israel",51119.36017970548,transit,43.567636516794444,1.162437697373692
חבר,1110,HEVER,2,הצפון,23,יזרעאל,234.0,8.0,מועצה אזורית הגלבוע,,1.0,800.0,800.0,766.0,0.0,1958,350,,2250871708.0,71.0,204.0,10004394.0,2021,Hever,213.0,35.2643132819168,32.54791577965057,"32.5479,35.2643",69800,5906,"Hof HaCarmel Regional Council, Israel","78, Merkaz Hever, Israel",37151.407901228864,transit,22.645626218155083,0.5322551275247688
חגי,3764,HAGGAY,7,אזור יהודה ושומרון,77,חברון,,78.0,מועצה אזורית הר חברון,,1.0,701.0,701.0,701.0,0.0,1984,370,11.0,2076160011.0,853.0,715.0,15003512.0,2021,Haggay,710.0,35.07975628084651,31.4930262648563,"31.4930,35.0798",,,"Hof HaCarmel Regional Council, Israel","31.493,35.0798",145871.9433024803,transit,,
חגלה,205,HOGLA,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,868.0,868.0,863.0,0.0,1933,310,1.0,1932769927.0,19.0,409.0,15000060.0,2021,Hogla,,34.92614547926083,32.38702257558431,"32.3870,34.9261",41254,5083,"Hof HaCarmel Regional Council, Israel","Nof Yaldut St 39, Hogla, Israel",46951.321746817935,transit,33.25295264382148,1.1381034989775036
חד-נס,4026,HAD-NES,2,הצפון,29,גולן,293.0,71.0,מועצה אזורית גולן,,1.0,876.0,876.0,819.0,0.0,1989,370,9.0,2604175924.0,-10.0,219.0,10004579.0,2021,Had-Nes,211.0,35.64230205511356,32.927321319187826,"32.9273,35.6423",144771,9834,"Hof HaCarmel Regional Council, Israel","Khofim St 31, Had Nes",60760.41812455288,transit,22.242984060239007,0.4197002032489441
חדיד,618,HADID,4,המרכז,43,רמלה,432.0,25.0,מועצה אזורית חבל מודיעין,142.0,1.0,913.0,913.0,908.0,0.0,1950,310,2.0,1936865290.0,66.0,424.0,10002168.0,2021,Hadid,,34.93175154891871,31.96887957920137,"31.9689,34.9318",99863,9919,"Hof HaCarmel Regional Council, Israel","HaKalanit St 115, Hadid, Israel",93086.46932743552,transit,33.78478572222683,0.9321417274409494
חולית,1239,HOLIT,6,הדרום,62,באר שבע,622.0,38.0,מועצה אזורית אשכול,,1.0,203.0,202.0,195.0,1.0,1980,330,15.0,1357357134.0,76.0,651.0,10001893.0,2021,Holit,620.0,34.325668954025836,31.23060816376794,"31.2306,34.3257",202118,13835,"Hof HaCarmel Regional Council, Israel","Holit Center, Holit, Israel",186374.012127486,transit,48.49630962478855,0.9221049690155553
חולתה,253,HULATA,2,הצפון,21,צפת,211.0,1.0,מועצה אזורית הגליל העליון,,1.0,719.0,718.0,701.0,1.0,1937,330,15.0,2573277301.0,81.0,253.0,10004540.0,2021,Hulata,211.0,35.6098329243286,33.0515892213336,"33.0516,35.6098",117339,7700,"Hof HaCarmel Regional Council, Israel","Office, Hulata, Israel",62522.73930371114,transit,29.231410583553263,0.532838521750749
חוסנייה,1332,HUSSNIYYA,2,הצפון,24,עכו,242.0,56.0,מועצה אזורית משגב,,2.0,823.0,6.0,0.0,817.0,,450,,2302975616.0,292.0,205.0,10004513.0,2021,Hussniyya,210.0,35.320235890383856,32.90026306804212,"32.9003,35.3202",,,"Hof HaCarmel Regional Council, Israel","32.9003,35.3202",31029.288208445105,transit,,
חופית,115,HOFIT,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,824.0,824.0,815.0,0.0,1955,350,,1883769905.0,16.0,409.0,15000060.0,2021,Hofit,,34.87407856046197,32.384913053082435,"32.3849,34.8741",38201,4015,"Hof HaCarmel Regional Council, Israel","Ha-Shaldag St 15, Hofit, Israel",48222.60400254443,transit,43.238200350973834,1.2623387870093565
חוקוק,374,HUQOQ,2,הצפון,22,כנרת,221.0,6.0,מועצה אזורית עמק הירדן,,1.0,628.0,621.0,586.0,7.0,1945,330,15.0,2466775401.0,5.0,214.0,10004552.0,2021,Huqoq,214.0,35.495247167350314,32.88059241524129,"32.8806,35.4952",99557,7910,"Hof HaCarmel Regional Council, Israel","Unnamed Road, Hukok, Israel",46258.5588319362,transit,21.053199974079686,0.4646439610668883
חורשים,355,HORESHIM,4,המרכז,42,פתח תקווה,421.0,20.0,מועצה אזורית דרום השרון,142.0,1.0,350.0,343.0,332.0,7.0,1955,330,15.0,1974467160.0,79.0,417.0,15000658.0,2021,Horeshim,410.0,34.971101023355786,32.137594340915925,"32.1376,34.9711",78306,7102,"Hof HaCarmel Regional Council, Israel","Unnamed Road, Horshim, Israel",74129.46389606345,transit,37.57618558516312,0.9466639069300367
חזון,1047,HAZON,2,הצפון,21,צפת,214.0,2.0,מועצה אזורית מרום הגליל,,1.0,290.0,290.0,290.0,0.0,1969,310,2.0,2372775686.0,443.0,209.0,10004465.0,2021,Hazon,211.0,35.39485414105984,32.906483430005196,"32.9065,35.3949",92956,9605,"Hof HaCarmel Regional Council, Israel","35, Hazon, Israel",37847.04176926513,transit,14.18525251112488,0.4071500685191395
חיבת ציון,219,HIBBAT ZIYYON,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,844.0,844.0,838.0,0.0,1933,310,7.0,1919970042.0,29.0,409.0,15000060.0,2021,Hibbat Ziyyon,,34.91250905311328,32.39736184691325,"32.3974,34.9125",35977,3683,"Hof HaCarmel Regional Council, Israel","HaRishonim/Udim, Hibat Tzion, Israel",46050.39329961062,transit,45.012602736518666,1.2799953664733197
חלוץ,1272,HALUZ,2,הצפון,24,עכו,243.0,56.0,מועצה אזורית משגב,,1.0,537.0,536.0,522.0,1.0,1985,370,13.0,2295476170.0,734.0,205.0,15002358.0,2021,Haluz,210.0,35.312280196412175,32.950223048232516,"32.9502,35.3123",77681,9718,"Hof HaCarmel Regional Council, Israel","Ganim St 58, Haluts, Israel",32711.777077735092,transit,12.117966400478117,0.42110396464689037
חלץ,820,HELEZ,6,הדרום,61,אשקלון,614.0,36.0,מועצה אזורית חוף אשקלון,,1.0,486.0,482.0,478.0,4.0,1950,310,1.0,1676360965.0,79.0,633.0,10001829.0,2021,Helez,620.0,34.658470579367204,31.577959905428294,"31.5780,34.6585",146509,13099,"Hof HaCarmel Regional Council, Israel","Office/Helets, Heletz, Israel",140201.77397200264,transit,38.53167312765933,0.9569499073231177
חמדיה,343,HAMADYA,2,הצפון,23,יזרעאל,231.0,7.0,מועצה אזורית עמק המעיינות,,1.0,420.0,417.0,404.0,3.0,1942,330,15.0,2490971407.0,-169.0,202.0,10004568.0,2021,Hamadya,214.0,35.5198376292679,32.52039239687667,"32.5204,35.5198",117065,9637,"Hof HaCarmel Regional Council, Israel","Hamadya, Israel",57277.93029205717,transit,21.39675719118043,0.48928313579684085
חמדת,3646,HEMDAT,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75.0,מועצה אזורית ערבות הירדן,,1.0,343.0,343.0,343.0,0.0,1980,370,11.0,2497768423.0,148.0,712.0,10003299.0,2021,Hemdat,710.0,35.52611973338513,32.25129475735867,"32.2513,35.5261",184396,13334,"Hof HaCarmel Regional Council, Israel","Hemdat, Hemdat",78254.02280680902,transit,21.12752978134937,0.4243802620816559
חמרה,3609,HAMRA,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75.0,מועצה אזורית ערבות הירדן,,1.0,273.0,273.0,266.0,0.0,1971,310,10.0,2412967837.0,-46.0,712.0,10003299.0,2021,Hamra,710.0,35.43599947970896,32.19864811886899,"32.1986,35.4360",161268,12122,"Hof HaCarmel Regional Council, Israel","30, Khamra",78290.78468397279,transit,23.250851745776444,0.48547005409611815
חניאל,807,HANNI'EL,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,903.0,903.0,880.0,0.0,1950,310,1.0,1954169328.0,31.0,409.0,15000060.0,2021,Hanni'el,,34.949040016650265,32.33305594908,"32.3331,34.9490",,,"Hof HaCarmel Regional Council, Israel","32.3331,34.949",52608.88616455197,transit,,
חניתה,280,HANITA,2,הצפון,24,עכו,244.0,4.0,מועצה אזורית מטה אשר,,1.0,744.0,743.0,712.0,1.0,1938,330,15.0,2166577698.0,338.0,201.0,10004302.0,2021,Hanita,212.0,35.174382580288466,33.08804014616101,"33.0880,35.1744",74052,11504,"Hof HaCarmel Regional Council, Israel","מעלה הגבעה, Hanita, Israel",35215.72602775192,transit,11.020220245124037,0.4755540164715595
חפץ חיים,363,HAFEZ HAYYIM,4,המרכז,44,רחובות,441.0,31.0,מועצה אזורית נחל שורק,143.0,1.0,586.0,586.0,586.0,0.0,1944,330,8.0,1811563304.0,76.0,456.0,15002488.0,2021,Hafez Hayyim,420.0,34.79998147046546,31.78942739039018,"31.7894,34.8000",126122,9793,"Hof HaCarmel Regional Council, Israel","Unnamed Road, Hafetz Haim, Israel",114453.27502909045,transit,42.074113152734164,0.9074806538834657
חפצי-בה,90,HEFZI-BAH,2,הצפון,23,יזרעאל,232.0,8.0,מועצה אזורית הגלבוע,,1.0,757.0,755.0,732.0,2.0,1922,330,15.0,2400871389.0,-74.0,204.0,10004568.0,2021,Hefzi-Bah,213.0,35.4239393737291,32.51897319620786,"32.5190,35.4239",,,"Hof HaCarmel Regional Council, Israel","32.519,35.4239",50121.84550346461,transit,,
חצבה,13,HAZEVA,6,הדרום,62,באר שבע,625.0,54.0,מועצה אזורית הערבה התיכונה,,1.0,694.0,684.0,646.0,10.0,1965,310,1.0,2266751976.0,-156.0,657.0,10001918.0,2021,Hazeva,610.0,35.27979011058324,30.76836239719583,"30.7684,35.2798",,,"Hof HaCarmel Regional Council, Israel","30.7684,35.2798",227743.28751512038,transit,,
חצור-אשדוד,406,HAZOR-ASHDOD,6,הדרום,61,אשקלון,611.0,33.0,מועצה אזורית באר טוביה,143.0,1.0,673.0,673.0,651.0,0.0,1937,330,15.0,1735963120.0,44.0,616.0,10001821.0,2021,Hazor-Ashdod,420.0,34.72024752068819,31.77255559489109,"31.7726,34.7202",124291,10732,"Hof HaCarmel Regional Council, Israel","בית הבריאות, Hatsor Ashdod, Israel",117798.32719795332,transit,39.51490662622363,0.9477623254938276
חצרים,397,HAZERIM,6,הדרום,62,באר שבע,623.0,41.0,מועצה אזורית בני שמעון,344.0,1.0,857.0,857.0,837.0,0.0,1946,330,15.0,1726857216.0,240.0,625.0,10001900.0,2021,Hazerim,620.0,34.71343219669985,31.240068829862647,"31.2401,34.7134",190516,13634,"Hof HaCarmel Regional Council, Israel","6PQ6+WQ, Hatzerim, Israel",176059.69964841966,transit,46.487818595739384,0.924120282015262
חרב לאת,422,HEREV LE'ET,4,המרכז,41,השרון,411.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,933.0,933.0,915.0,0.0,1947,310,10.0,1923970091.0,28.0,409.0,15000060.0,2021,Herev Le'Et,,34.91674648617354,32.4017901519983,"32.4018,34.9167",38472,4830,"Hof HaCarmel Regional Council, Israel","HaAlon St 4, Herev Le'et, 3886000, Israel",45490.75883578595,transit,33.90615565400195,1.1824381065654488
חרוצים,1024,HARUZIM,4,המרכז,41,השרון,411.0,19.0,מועצה אזורית חוף השרון,141.0,1.0,907.0,907.0,886.0,0.0,1951,350,,1874468161.0,45.0,401.0,15000060.0,2021,Haruzim,,34.86478248838957,32.22762158752545,"32.2276,34.8648",59598,5050,"Hof HaCarmel Regional Council, Israel","HaTamar St 109, Harutzim, Israel",65440.84402809176,transit,46.65089871309512,1.0980375856252182
חרמש,3717,HERMESH,7,אזור יהודה ושומרון,71,ג'נין,,72.0,מועצה אזורית שומרון,,1.0,236.0,236.0,216.0,0.0,1982,370,9.0,2114170327.0,238.0,710.0,15004488.0,2021,Hermesh,710.0,35.11889421726791,32.423370716402694,"32.4234,35.1189",60786,6280,"Hof HaCarmel Regional Council, Israel","Hermesh/Center, Hermesh",43511.303153900415,transit,24.942785247458836,0.7158112584131283
חרשים,1209,HARASHIM,2,הצפון,24,עכו,243.0,56.0,מועצה אזורית משגב,,1.0,377.0,377.0,357.0,0.0,1980,370,19.0,2310076241.0,815.0,205.0,10004465.0,2021,Harashim,210.0,35.32790290480431,32.956610454789995,"32.9566,35.3279",75793,8939,"Hof HaCarmel Regional Council, Israel","30, Harashim, Israel",34329.791281481004,transit,13.825623516425956,0.45294144949376597
טירת צבי,268,TIRAT ZEVI,2,הצפון,23,יזרעאל,231.0,7.0,מועצה אזורית עמק המעיינות,,1.0,975.0,975.0,975.0,0.0,1937,330,3.0,2499570302.0,-219.0,202.0,10004568.0,2021,Tirat Zevi,214.0,35.528633343025305,32.420728179885735,"32.4207,35.5286",,,"Hof HaCarmel Regional Council, Israel","32.4207,35.5286",64679.416579768855,transit,,
טללים,1177,TELALIM,6,הדרום,62,באר שבע,626.0,48.0,מועצה אזורית רמת נגב,,1.0,591.0,591.0,566.0,0.0,1980,330,15.0,1779654464.0,361.0,620.0,10001918.0,2021,Telalim,610.0,34.76998637257285,30.992063358132743,"30.9921,34.7700",218366,15360,"Hof HaCarmel Regional Council, Israel","Tlalim, Tlalim, Israel",202679.0417540002,transit,47.502900411093805,0.9281620845461299
טנא,3743,TENE,7,אזור יהודה ושומרון,77,חברון,,78.0,מועצה אזורית הר חברון,,1.0,964.0,964.0,949.0,0.0,1983,370,11.0,1959158706.0,554.0,715.0,15003512.0,2021,Tene,710.0,34.95692218728973,31.375151626737345,"31.3752,34.9569",214282,15458,"Hof HaCarmel Regional Council, Israel","Hagai St 62, Tene",158900.19195165674,transit,37.00612569711245,0.7415470825904964
טפחות,1214,TEFAHOT,2,הצפון,21,צפת,214.0,2.0,מועצה אזורית מרום הגליל,,1.0,521.0,521.0,521.0,0.0,1980,310,2.0,2398375265.0,82.0,209.0,10004552.0,2021,Tefahot,211.0,35.42212533450393,32.868478200860594,"32.8685,35.4221",86374,8280,"Hof HaCarmel Regional Council, Israel","HaZayit/HaHita, Tefahot, Israel",39298.6815556249,transit,17.086383285054303,0.45498276744882604
יבול,1232,YEVUL,6,הדרום,62,באר שבע,622.0,38.0,מועצה אזורית אשכול,,1.0,352.0,352.0,350.0,0.0,1981,310,10.0,1349756676.0,85.0,651.0,10001893.0,2021,Yevul,620.0,34.318078286498384,31.18925038874479,"31.1893,34.3181",207209,14291,"Hof HaCarmel Regional Council, Israel","ד.נ. הנגב 1, Yevul, Israel",190943.97734239438,transit,48.10008525873765,0.9215042654633456
יגל,798,YAGEL,4,המרכז,43,רמלה,432.0,40.0,מועצה אזורית שדות דן,133.0,1.0,919.0,919.0,917.0,0.0,1950,310,1.0,1887165509.0,40.0,425.0,10002261.0,2021,Yagel,,34.87910462527443,31.988505147049146,"31.9885,34.8791",92120,7997,"Hof HaCarmel Regional Council, Israel","Honi HaMe'agel St 19, Yagel, Israel",91436.37125484318,transit,41.161802740707195,0.9925789324233953
יד השמונה,1134,YAD HASHEMONA,1,ירושלים,11,ירושלים,111.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,294.0,294.0,130.0,0.0,1978,320,10.0,2086063517.0,677.0,151.0,10002475.0,2021,Yad HaShemona,,35.08978886706905,31.809227137184266,"31.8092,35.0898",135599,8458,"Hof HaCarmel Regional Council, Israel","Unnamed Road, Yad HaShmona, Israel",110820.95316357787,transit,47.16900347468437,0.817269693460703
יד חנה,758,YAD HANNA,4,המרכז,41,השרון,412.0,16.0,מועצה אזורית עמק חפר,141.0,1.0,985.0,984.0,968.0,1.0,1950,330,15.0,2007869249.0,53.0,409.0,10002155.0,2021,Yad Hanna,,35.00609109652553,32.32603460779413,"32.3260,35.0061",54785,5958,"Hof HaCarmel Regional Council, Israel","201, Yad Hana, Israel",53092.59328372425,transit,32.08011678774879,0.9691082099794515
יד מרדכי,358,YAD MORDEKHAY,6,הדרום,61,אשקלון,614.0,36.0,מועצה אזורית חוף אשקלון,,1.0,792.0,788.0,759.0,4.0,1943,330,15.0,1581461092.0,42.0,633.0,10001829.0,2021,Yad Mordekhay,620.0,34.55842314455465,31.588946788006517,"31.5889,34.5584",138163,11560,"Hof HaCarmel Regional Council, Israel","HHQ5+7F, Yad Mordechai, Israel",141541.2624220314,transit,44.07859383385061,1.0244512816168685
יד נתן,775,YAD NATAN,6,הדרום,61,אשקלון,612.0,50.0,מועצה אזורית לכיש,,1.0,637.0,635.0,627.0,2.0,1953,310,6.0,1721361788.0,76.0,634.0,10001813.0,2021,Yad Natan,,34.70547896606504,31.65237419371054,"31.6524,34.7055",174201,12301,"Hof HaCarmel Regional Council, Israel","מושב, Yad Natan, Israel",131138.0480750784,transit,38.37874750591678,0.7527973322488298
ידידה,1144,YEDIDA,1,ירושלים,11,ירושלים,111.0,26.0,מועצה אזורית מטה יהודה,444.0,1.0,224.0,223.0,217.0,1.0,1964,340,,2100963561.0,726.0,151.0,10002475.0,2021,Yedida,,35.10552026870448,31.813208405249707,"31.8132,35.1055",133809,8543,"Hof HaCarmel Regional Council, Israel","מסעף נטף, Israel",110491.25011712233,transit,46.56075154180503,0.8257385535884905
יהל,1158,YAHEL,6,הדרום,62,באר שבע,625.0,53.0,מועצה אזורית חבל אילות,,1.0,232.0,232.0,210.0,0.0,1976,330,15.0,2121144384.0,194.0,608.0,10001955.0,2021,Yahel,610.0,35.1282379602295,30.08354078303133,"30.0835,35.1282",365013,22096,"Hof HaCarmel Regional Council, Israel","Yahel, Yahel, Israel",302658.5331138774,transit,49.310767523984374,0.8291719284350897
